ID_PARTIDA,ID_SET,TIMEA,TIMEB,ATAQUE_A,SAQUE_A,BLOQUEIO_A,RECEPCAO_A,LEVANTAMENTO_A,DEFESA_A,ATAQUE_B,SAQUE_B,BLOQUEIO_B,RECEPCAO_B,LEVANTAMENTO_B,DEFESA_B,FASE_FINAL,VENCEU_SET_A_ANTERIOR,VENCEU_SET_B_ANTERIOR,VENCEU_SET_A,VENCEU_SET_B
16148,2,France,Slovenia,19.230384615384615,-27.776666666666667,-62.49875,4.999499999999999,15.387692307692308,66.66666666666667,45.45227272727273,-15.999600000000001,44.44444444444444,15.386923076923077,0.0,80.0,False,False,True,False,True
16148,3,France,Slovenia,29.999333333333333,-19.9996,-8.333333333333332,28.571428571428573,10.7175,84.21105263157895,20.589117647058824,-33.333333333333336,-20.0,29.999000000000002,6.058181818181818,93.750625,False,False,True,True,False
16148,4,France,Slovenia,15.38423076923077,-27.27318181818182,-30.002999999999997,10.525263157894736,11.11111111111111,76.92384615384616,22.725909090909088,-15.9988,8.332500000000001,21.428571428571427,23.81142857142857,81.81818181818181,False,True,False,False,True
16149,1,China,Iran,21.740434782608695,3.9995999999999996,11.766470588235293,27.77611111111111,4.543636363636363,75.0,28.12375,-21.738695652173913,-9.091818181818182,13.044347826086955,21.20969696969697,93.75,False,,,True,False
16149,2,China,Iran,38.093809523809526,-19.999333333333333,-55.556666666666665,12.4975,9.523809523809524,0.0,63.63636363636363,4.0,-33.333333333333336,18.180909090909093,23.52823529411765,81.82,False,True,False,False,True
16149,3,China,Iran,23.075384615384618,-9.524285714285714,-24.999166666666667,19.047619047619047,8.33625,72.72727272727273,46.15461538461538,-8.333333333333334,9.091818181818182,16.667777777777776,0.0,90.9090909090909,False,False,True,False,True
16149,4,China,Iran,47.05882352941177,-21.428571428571427,-55.55555555555556,4.346521739130435,27.77777777777778,75.0,59.9995,16.0,-49.9975,18.180909090909093,5.880000000000001,100.0,False,False,True,False,True
16150,1,Bulgaria,Japan,25.922592592592597,-13.636363636363637,-8.3325,11.11111111111111,17.857142857142858,78.57142857142857,42.42484848484848,-27.998800000000003,-21.428571428571427,38.888888888888886,22.580645161290324,81.249375,False,,,False,True
16150,2,Bulgaria,Japan,24.0,-9.09,-42.857142857142854,15.000499999999999,21.741739130434784,66.66777777777777,49.99909090909091,-12.500833333333333,-23.076153846153847,33.333333333333336,22.73,66.66777777777777,False,False,True,False,True
16150,3,Bulgaria,Japan,35.714285714285715,-12.500416666666666,-28.571428571428573,34.9995,14.81777777777778,72.72727272727273,49.99923076923077,-18.51888888888889,-33.333333333333336,15.78842105263158,38.45769230769231,68.75,False,False,True,False,True
16151,1,Germany,Italy,52.17217391304348,-16.66625,-25.0,-4.761904761904762,17.393478260869564,-12.500625,48.14666666666667,-8.332916666666668,-45.45454545454545,0.0,17.859285714285715,21.053684210526313,False,,,False,True
16151,2,Germany,Italy,15.9988,-16.666666666666668,-18.181818181818183,4.9995,15.996799999999999,11.110555555555557,38.46153846153846,-8.0,-9.998999999999999,20.0,15.386538461538462,11.764117647058825,False,False,True,False,True
16151,3,Germany,Italy,27.27318181818182,-14.814074074074075,-6.666666666666667,11.763529411764706,13.636818181818182,19.99866666666667,14.815925925925924,-20.0,0.0,4.761428571428572,17.239310344827583,33.333333333333336,False,False,True,True,False
16151,4,Germany,Italy,20.83375,-10.526315789473685,-23.076153846153847,14.999,12.0,-7.142857142857143,50.00076923076923,-19.999200000000002,-33.3325,6.25,30.76923076923077,53.333333333333336,False,True,False,False,True
16152,1,Brazil,Cuba,18.517777777777777,-18.749375,-42.857142857142854,13.634999999999998,25.925925925925927,8.333333333333334,52.63263157894737,-5.684341886080802e-16,13.334666666666665,15.386153846153848,27.78,37.5,False,,,False,True
16152,2,Brazil,Cuba,37.5,-11.9992,-9.998999999999999,12.5,28.0,18.75,27.584482758620688,-22.727272727272727,-44.44444444444444,4.545454545454546,21.42642857142857,0.0008333333333337597,False,False,True,True,False
16152,3,Brazil,Cuba,51.72137931034483,-21.427857142857142,-40.0,21.050526315789472,33.333333333333336,7.693076923076924,48.2751724137931,-28.57107142857143,-44.443333333333335,13.636818181818182,17.856428571428573,21.429285714285715,False,True,False,True,False
16152,4,Brazil,Cuba,38.09571428571429,-17.390869565217393,-25.0,37.5,57.145238095238106,-37.50125,57.69230769230769,-33.33375,-23.076923076923077,22.221666666666668,24.0028,19.997999999999998,False,True,False,False,True
16152,5,Brazil,Cuba,28.571785714285713,-11.110555555555557,-37.5,5.555555555555555,34.48620689655173,15.384615384615385,45.0,-4.999499999999999,-12.500625,-0.0026666666666670833,10.522105263157894,-0.0011111111111116794,False,False,True,False,True
16153,1,Canada,USA,25.925925925925927,-13.636363636363637,-18.181818181818183,9.524285714285714,15.998,-18.18136363636364,34.48310344827586,-8.000399999999999,-35.29529411764706,21.051052631578944,19.35290322580645,68.74875,False,,,False,True
16153,2,Canada,USA,26.087391304347825,0.0,-26.666666666666668,30.0005,20.833333333333332,-13.333333333333334,48.14740740740741,-12.499166666666667,-42.857142857142854,20.0,13.78896551724138,42.855714285714285,False,False,True,False,True
16153,3,Canada,USA,32.14071428571428,-19.9995,-41.66583333333333,10.0015,13.791379310344826,19.047619047619047,46.155,-12.0008,-26.668,12.5,23.07461538461538,26.314210526315787,False,False,True,False,True
16154,1,Iran,Slovenia,38.097142857142856,-9.999500000000001,0.0014285714285721593,5.0,4.352173913043478,49.999,42.308461538461536,0.0,-49.999,44.44222222222223,15.383461538461539,79.999,False,,,False,True
16154,2,Iran,Slovenia,21.2130303030303,-13.04304347826087,-24.999375,26.314736842105265,20.591470588235296,88.88888888888889,34.28657142857143,-19.9996,-7.142857142857143,15.79,18.41842105263158,82.60739130434783,False,False,True,False,True
16154,3,Iran,Slovenia,33.33259259259259,-16.666666666666668,-36.36454545454546,5.557222222222221,18.519259259259258,72.22222222222223,29.62888888888889,-4.166666666666667,-26.666666666666668,15.002,6.8999999999999995,91.66666666666667,False,False,True,False,True
16155,1,Poland,Serbia,25.00111111111111,-13.636363636363637,-7.142857142857143,36.36227272727273,24.998055555555556,74.999375,36.666666666666664,-4.16625,-6.25,36.8421052631579,6.6659999999999995,84.61538461538461,False,,,False,True
16155,2,Poland,Serbia,38.0947619047619,5.264736842105263,-36.36363636363637,18.181818181818183,26.08695652173913,100.0,66.66833333333334,-4.0,-33.33166666666667,5.882352941176471,21.73913043478261,100.0,False,False,True,False,True
16155,3,Poland,Serbia,13.04304347826087,-33.333333333333336,-33.33166666666667,14.999,13.046086956521743,100.0,47.61714285714286,-4.165833333333333,-9.090909090909092,10.002,0.0,78.57071428571429,False,False,True,False,True
16156,1,France,Japan,50.00107142857143,-23.076923076923077,-6.665999999999999,13.042173913043477,10.714285714285714,91.665,25.71457142857143,-3.8461538461538463,-38.46307692307692,40.0,11.113888888888889,80.001,False,,,True,False
16156,2,France,Japan,15.383846153846154,-30.434782608695652,-28.571428571428573,26.31578947368421,7.6923076923076925,50.0,16.667777777777776,-16.667083333333334,8.333333333333334,31.249375,5.882352941176471,50.0,False,True,False,False,True
16156,3,France,Japan,63.63681818181818,-28.570476190476192,25.0,28.572857142857142,13.640454545454544,27.271818181818183,61.90571428571428,-7.9996,-57.142857142857146,35.714285714285715,14.284285714285716,66.66666666666667,False,False,True,False,True
16156,4,France,Japan,47.61714285714286,-4.762380952380953,-39.999,19.9995,39.995999999999995,66.66833333333334,57.14214285714286,-8.333333333333334,-80.0,22.22222222222222,12.000399999999999,91.6675,False,False,True,False,True
16157,1,Argentina,Netherlands,25.490588235294116,-5.882352941176471,-9.522857142857143,3.0327272727272736,13.210188679245285,45.71514285714286,23.402978723404257,0.0008333333333333649,-4.545,20.000666666666667,16.666666666666668,19.445555555555554,False,,,False,True
16157,2,Argentina,Netherlands,71.42761904761905,-20.001199999999997,-33.333333333333336,-0.0006666666666670077,26.08782608695652,46.666666666666664,34.78260869565217,-15.001,-66.66666666666667,27.78,17.39,-12.5,False,False,True,True,False
