,0,1,2,3,4,5
0,11809,2021,VNL,Pool 5 - Preliminary Phase - Men #110,France,Argentina
0,11810,2021,VNL,Pool 5 - Preliminary Phase - Men #111,Brazil,Germany
0,11811,2021,VNL,Pool 5 - Preliminary Phase - Men #112,Russia,Italy
0,11812,2021,VNL,Pool 5 - Preliminary Phase - Men #113,Australia,Netherlands
0,11813,2021,VNL,Pool 5 - Preliminary Phase - Men #114,Canada,Serbia
0,11814,2021,VNL,Pool 5 - Preliminary Phase - Men #115,USA,Japan
0,11815,2021,VNL,Pool 5 - Preliminary Phase - Men #116,France,Poland
0,11816,2021,VNL,Pool 5 - Preliminary Phase - Men #117,Iran,Argentina
0,11817,2021,VNL,Pool 5 - Preliminary Phase - Men #118,Slovenia,Bulgaria
0,11818,2021,VNL,Pool 5 - Preliminary Phase - Men #119,Italy,Germany
0,11819,2021,VNL,Pool 5 - Preliminary Phase - Men #120,Brazil,Russia
0,11820,2021,VNL,Semi-finals - Final Round - Men #121,Brazil,France
0,11821,2021,VNL,Semi-finals - Final Round - Men #122,Poland,Slovenia
0,11822,2021,VNL,3rd Place - Final Round - Men #123,France,Slovenia
0,11823,2021,VNL,Final - Final Round - Men #124,Brazil,Poland
0,13650,2022,VNL,Pool 1 - Week 1 - Men #1,China,Iran
0,13651,2022,VNL,Pool 1 - Week 1 - Men #2,Slovenia,USA
0,13652,2022,VNL,Pool 2 - Week 1 - Men #3,Bulgaria,Serbia
0,13653,2022,VNL,Pool 2 - Week 1 - Men #4,Canada,Germany
0,13654,2022,VNL,Pool 1 - Week 1 - Men #5,Japan,Netherlands
0,13655,2022,VNL,Pool 1 - Week 1 - Men #6,Brazil,Australia
0,13656,2022,VNL,Pool 2 - Week 1 - Men #7,Poland,Argentina
0,13657,2022,VNL,Pool 2 - Week 1 - Men #8,France,Italy
0,13658,2022,VNL,Pool 1 - Week 1 - Men #9,Japan,China
0,13659,2022,VNL,Pool 1 - Week 1 - Men #10,Netherlands,USA
0,13660,2022,VNL,Pool 1 - Week 1 - Men #11,Brazil,Slovenia
0,13661,2022,VNL,Pool 2 - Week 1 - Men #12,Germany,Argentina
0,13662,2022,VNL,Pool 2 - Week 1 - Men #13,Serbia,France
0,13663,2022,VNL,Pool 2 - Week 1 - Men #14,Poland,Italy
0,13664,2022,VNL,Pool 1 - Week 1 - Men #15,Netherlands,Iran
0,13665,2022,VNL,Pool 1 - Week 1 - Men #16,Japan,USA
0,13666,2022,VNL,Pool 1 - Week 1 - Men #17,Australia,Slovenia
0,13667,2022,VNL,Pool 2 - Week 1 - Men #18,Serbia,Argentina
0,13668,2022,VNL,Pool 2 - Week 1 - Men #19,Bulgaria,Germany
0,13669,2022,VNL,Pool 2 - Week 1 - Men #20,France,Canada
0,13670,2022,VNL,Pool 1 - Week 1 - Men #21,USA,Brazil
0,13671,2022,VNL,Pool 1 - Week 1 - Men #22,Slovenia,China
0,13672,2022,VNL,Pool 1 - Week 1 - Men #23,Iran,Australia
0,13673,2022,VNL,Pool 2 - Week 1 - Men #24,Germany,Serbia
0,13674,2022,VNL,Pool 2 - Week 1 - Men #25,Bulgaria,Poland
0,13675,2022,VNL,Pool 2 - Week 1 - Men #26,Canada,Italy
0,13676,2022,VNL,Pool 1 - Week 1 - Men #27,Brazil,China
0,13677,2022,VNL,Pool 1 - Week 1 - Men #28,Iran,Japan
0,13678,2022,VNL,Pool 1 - Week 1 - Men #29,Netherlands,Australia
0,13679,2022,VNL,Pool 2 - Week 1 - Men #30,France,Poland
0,13680,2022,VNL,Pool 2 - Week 1 - Men #31,Argentina,Italy
0,13681,2022,VNL,Pool 2 - Week 1 - Men #32,Bulgaria,Canada
0,13682,2022,VNL,Pool 3 - Week 2 - Men #33,Slovenia,Netherlands
0,13683,2022,VNL,Pool 3 - Week 2 - Men #34,Argentina,Japan
0,13684,2022,VNL,Pool 4 - Week 2 - Men #35,Australia,Canada
0,13685,2022,VNL,Pool 4 - Week 2 - Men #36,Iran,Bulgaria
0,13686,2022,VNL,Pool 3 - Week 2 - Men #37,China,France
0,13687,2022,VNL,Pool 3 - Week 2 - Men #38,Germany,Italy
0,13688,2022,VNL,Pool 4 - Week 2 - Men #39,Brazil,Poland
0,13689,2022,VNL,Pool 4 - Week 2 - Men #40,Serbia,USA
0,13690,2022,VNL,Pool 3 - Week 2 - Men #41,France,Netherlands
0,13691,2022,VNL,Pool 3 - Week 2 - Men #42,China,Germany
0,13692,2022,VNL,Pool 3 - Week 2 - Men #43,Argentina,Slovenia
0,13693,2022,VNL,Pool 4 - Week 2 - Men #44,Poland,Canada
0,13694,2022,VNL,Pool 4 - Week 2 - Men #45,Serbia,Brazil
0,13695,2022,VNL,Pool 4 - Week 2 - Men #46,USA,Iran
0,13696,2022,VNL,Pool 3 - Week 2 - Men #47,Germany,Netherlands
0,13697,2022,VNL,Pool 3 - Week 2 - Men #48,Argentina,China
0,13698,2022,VNL,Pool 3 - Week 2 - Men #49,Japan,Italy
0,13699,2022,VNL,Pool 4 - Week 2 - Men #50,Serbia,Canada
0,13700,2022,VNL,Pool 4 - Week 2 - Men #51,Iran,Brazil
0,13701,2022,VNL,Pool 4 - Week 2 - Men #52,Australia,Bulgaria
0,13702,2022,VNL,Pool 3 - Week 2 - Men #53,Argentina,Netherlands
0,13703,2022,VNL,Pool 3 - Week 2 - Men #54,Japan,France
0,13704,2022,VNL,Pool 3 - Week 2 - Men #55,Italy,Slovenia
0,13705,2022,VNL,Pool 4 - Week 2 - Men #56,Canada,Iran
0,13706,2022,VNL,Pool 4 - Week 2 - Men #57,Poland,Australia
0,13707,2022,VNL,Pool 4 - Week 2 - Men #58,USA,Bulgaria
0,13708,2022,VNL,Pool 3 - Week 2 - Men #59,Germany,France
0,13709,2022,VNL,Pool 3 - Week 2 - Men #60,Japan,Slovenia
0,13710,2022,VNL,Pool 3 - Week 2 - Men #61,Italy,China
0,13711,2022,VNL,Pool 4 - Week 2 - Men #62,Serbia,Australia
0,13712,2022,VNL,Pool 4 - Week 2 - Men #63,USA,Poland
0,13713,2022,VNL,Pool 4 - Week 2 - Men #64,Bulgaria,Brazil
0,13714,2022,VNL,Pool 5 - Week 3 - Men #65,USA,Germany
0,13715,2022,VNL,Pool 5 - Week 3 - Men #66,Canada,Argentina
0,13716,2022,VNL,Pool 6 - Week 3 - Men #67,Bulgaria,Italy
0,13717,2022,VNL,Pool 6 - Week 3 - Men #68,Iran,Poland
0,13718,2022,VNL,Pool 5 - Week 3 - Men #69,Brazil,Germany
0,13719,2022,VNL,Pool 5 - Week 3 - Men #70,Japan,Australia
0,13720,2022,VNL,Pool 6 - Week 3 - Men #71,Netherlands,China
0,13721,2022,VNL,Pool 6 - Week 3 - Men #72,Slovenia,Serbia
0,13722,2022,VNL,Pool 5 - Week 3 - Men #73,France,USA
0,13723,2022,VNL,Pool 5 - Week 3 - Men #74,Germany,Australia
0,13724,2022,VNL,Pool 5 - Week 3 - Men #75,Canada,Brazil
0,13725,2022,VNL,Pool 6 - Week 3 - Men #76,Italy,Iran
0,13726,2022,VNL,Pool 6 - Week 3 - Men #77,Bulgaria,Slovenia
0,13727,2022,VNL,Pool 6 - Week 3 - Men #78,Poland,China
0,13728,2022,VNL,Pool 5 - Week 3 - Men #79,Argentina,Australia
0,13729,2022,VNL,Pool 5 - Week 3 - Men #80,France,Brazil
0,13730,2022,VNL,Pool 5 - Week 3 - Men #81,Japan,Canada
0,13731,2022,VNL,Pool 6 - Week 3 - Men #82,Bulgaria,Netherlands
0,13732,2022,VNL,Pool 6 - Week 3 - Men #83,Slovenia,Iran
0,13733,2022,VNL,Pool 6 - Week 3 - Men #84,Italy,Serbia
0,13734,2022,VNL,Pool 5 - Week 3 - Men #85,France,Argentina
0,13735,2022,VNL,Pool 5 - Week 3 - Men #86,Canada,USA
0,13736,2022,VNL,Pool 5 - Week 3 - Men #87,Germany,Japan
0,13737,2022,VNL,Pool 6 - Week 3 - Men #88,China,Bulgaria
0,13738,2022,VNL,Pool 6 - Week 3 - Men #89,Iran,Serbia
