,0,1,2,3
9,11742,Japan,5,11
0,11743,Brazil,1,23
1,11743,Brazil,2,25
2,11743,Brazil,3,25
3,11743,Brazil,4,25
4,11743,Serbia,1,25
5,11743,Serbia,2,23
6,11743,Serbia,3,15
7,11743,Serbia,4,22
0,11744,Russia,1,25
1,11744,Russia,2,19
2,11744,Russia,3,19
3,11744,Russia,4,14
4,11744,Poland,1,21
5,11744,Poland,2,25
6,11744,Poland,3,25
7,11744,Poland,4,25
0,11745,USA,1,25
1,11745,USA,2,25
2,11745,USA,3,25
3,11745,Australia,1,23
4,11745,Australia,2,20
5,11745,Australia,3,17
0,11746,Bulgaria,1,20
1,11746,Bulgaria,2,31
2,11746,Bulgaria,3,22
3,11746,Iran,1,25
4,11746,Iran,2,33
5,11746,Iran,3,25
0,11747,Canada,1,19
1,11747,Canada,2,21
2,11747,Canada,3,25
3,11747,Canada,4,28
4,11747,Canada,5,11
5,11747,Italy,1,25
6,11747,Italy,2,25
7,11747,Italy,3,21
8,11747,Italy,4,26
9,11747,Italy,5,15
0,11748,Serbia,1,19
1,11748,Serbia,2,25
2,11748,Serbia,3,25
3,11748,Serbia,4,25
4,11748,Germany,1,25
5,11748,Germany,2,22
6,11748,Germany,3,18
7,11748,Germany,4,15
0,11749,Japan,1,25
1,11749,Japan,2,21
2,11749,Japan,3,28
3,11749,Japan,4,26
4,11749,Australia,1,18
5,11749,Australia,2,25
6,11749,Australia,3,26
7,11749,Australia,4,24
0,11750,France,1,22
1,11750,France,2,25
2,11750,France,3,30
3,11750,France,4,25
4,11750,Russia,1,25
5,11750,Russia,2,18
6,11750,Russia,3,28
7,11750,Russia,4,19
0,11751,Slovenia,1,25
1,11751,Slovenia,2,25
2,11751,Slovenia,3,25
3,11751,Canada,1,22
4,11751,Canada,2,19
5,11751,Canada,3,22
0,11752,Argentina,1,28
1,11752,Argentina,2,21
2,11752,Argentina,3,20
3,11752,Italy,1,30
4,11752,Italy,2,25
5,11752,Italy,3,25
0,11753,Iran,1,25
1,11753,Iran,2,25
2,11753,Iran,3,25
3,11753,USA,1,19
4,11753,USA,2,23
5,11753,USA,3,23
0,11754,Poland,1,25
1,11754,Poland,2,25
2,11754,Poland,3,25
3,11754,Bulgaria,1,19
4,11754,Bulgaria,2,15
5,11754,Bulgaria,3,12
0,11755,Netherlands,1,19
1,11755,Netherlands,2,22
2,11755,Netherlands,3,25
3,11755,Brazil,1,25
4,11755,Brazil,2,25
5,11755,Brazil,3,27
0,11756,Serbia,1,21
1,11756,Serbia,2,25
2,11756,Serbia,3,26
3,11756,Serbia,4,25
4,11756,Serbia,5,15
5,11756,Iran,1,25
6,11756,Iran,2,15
7,11756,Iran,3,28
8,11756,Iran,4,22
9,11756,Iran,5,8
0,11757,Russia,1,25
1,11757,Russia,2,25
2,11757,Russia,3,23
3,11757,Russia,4,25
4,11757,Canada,1,18
5,11757,Canada,2,18
6,11757,Canada,3,25
7,11757,Canada,4,23
0,11758,France,1,25
1,11758,France,2,25
2,11758,France,3,23
3,11758,France,4,19
4,11758,France,5,9
5,11758,Slovenia,1,17
6,11758,Slovenia,2,19
7,11758,Slovenia,3,25
8,11758,Slovenia,4,25
9,11758,Slovenia,5,15
0,11759,Argentina,1,25
1,11759,Argentina,2,25
2,11759,Argentina,3,25
3,11759,Australia,1,18
4,11759,Australia,2,19
5,11759,Australia,3,20
0,11760,Germany,1,12
1,11760,Germany,2,18
2,11760,Germany,3,27
3,11760,USA,1,25
4,11760,USA,2,25
5,11760,USA,3,29
0,11761,Bulgaria,1,16
1,11761,Bulgaria,2,22
2,11761,Bulgaria,3,12
3,11761,Brazil,1,25
4,11761,Brazil,2,25
5,11761,Brazil,3,25
0,11762,Japan,1,21
1,11762,Japan,2,25
2,11762,Japan,3,22
3,11762,Japan,4,25
4,11762,Japan,5,15
5,11762,Italy,1,25
6,11762,Italy,2,22
7,11762,Italy,3,25
8,11762,Italy,4,15
9,11762,Italy,5,9
0,11763,Poland,1,25
1,11763,Poland,2,25
2,11763,Poland,3,25
3,11763,Netherlands,1,14
4,11763,Netherlands,2,17
5,11763,Netherlands,3,16
0,11764,Iran,1,25
1,11764,Iran,2,20
2,11764,Iran,3,19
3,11764,Iran,4,25
4,11764,Iran,5,13
5,11764,Germany,1,23
6,11764,Germany,2,25
7,11764,Germany,3,25
8,11764,Germany,4,19
9,11764,Germany,5,15
0,11765,Slovenia,1,19
1,11765,Slovenia,2,25
2,11765,Slovenia,3,22
3,11765,Slovenia,4,25
4,11765,Slovenia,5,15
5,11765,Russia,1,25
6,11765,Russia,2,23
7,11765,Russia,3,25
8,11765,Russia,4,20
9,11765,Russia,5,8
0,11766,Japan,1,32
1,11766,Japan,2,16
2,11766,Japan,3,18
3,11766,Japan,4,21
4,11766,Argentina,1,30
5,11766,Argentina,2,25
6,11766,Argentina,3,25
7,11766,Argentina,4,25
0,11767,Netherlands,1,18
1,11767,Netherlands,2,25
2,11767,Netherlands,3,25
3,11767,Netherlands,4,22
4,11767,Netherlands,5,13
5,11767,Bulgaria,1,25
6,11767,Bulgaria,2,18
7,11767,Bulgaria,3,17
8,11767,Bulgaria,4,25
9,11767,Bulgaria,5,15
0,11768,Australia,1,20
1,11768,Australia,2,22
2,11768,Australia,3,14
3,11768,Italy,1,25
4,11768,Italy,2,25
5,11768,Italy,3,25
0,11769,USA,1,23
1,11769,USA,2,17
2,11769,USA,3,25
3,11769,USA,4,25
4,11769,Serbia,1,25
5,11769,Serbia,2,25
6,11769,Serbia,3,19
7,11769,Serbia,4,27
0,11770,Canada,1,25
1,11770,Canada,2,21
2,11770,Canada,3,22
3,11770,Canada,4,17
4,11770,France,1,20
5,11770,France,2,25
6,11770,France,3,25
7,11770,France,4,25
0,11771,Poland,1,17
1,11771,Poland,2,26
2,11771,Poland,3,19
3,11771,Brazil,1,25
4,11771,Brazil,2,28
5,11771,Brazil,3,25
0,11772,Russia,1,25
1,11772,Russia,2,25
2,11772,Russia,3,22
3,11772,Russia,4,25
4,11772,Serbia,1,23
5,11772,Serbia,2,22
6,11772,Serbia,3,25
7,11772,Serbia,4,21
0,11773,Iran,1,23
1,11773,Iran,2,22
2,11773,Iran,3,25
3,11773,Iran,4,25
4,11773,Iran,5,12
5,11773,Australia,1,25
6,11773,Australia,2,25
7,11773,Australia,3,23
8,11773,Australia,4,18
9,11773,Australia,5,15
0,11774,Argentina,1,25
1,11774,Argentina,2,16
2,11774,Argentina,3,25
3,11774,Argentina,4,25
4,11774,Bulgaria,1,20
5,11774,Bulgaria,2,25
6,11774,Bulgaria,3,18
7,11774,Bulgaria,4,18
0,11775,Japan,1,25
1,11775,Japan,2,25
2,11775,Japan,3,25
3,11775,Germany,1,18
4,11775,Germany,2,22
5,11775,Germany,3,20
0,11776,Italy,1,15
1,11776,Italy,2,18
2,11776,Italy,3,21
3,11776,USA,1,25
4,11776,USA,2,25
5,11776,USA,3,25
0,11777,Canada,1,22
1,11777,Canada,2,23
2,11777,Canada,3,19
3,11777,Poland,1,25
4,11777,Poland,2,25
5,11777,Poland,3,25
0,11778,Brazil,1,15
1,11778,Brazil,2,25
2,11778,Brazil,3,19
3,11778,Brazil,4,25
4,11778,Brazil,5,15
5,11778,Slovenia,1,25
6,11778,Slovenia,2,22
7,11778,Slovenia,3,25
