,0,1,2,3,4,5
0,13852,2022,VNL,Quarter-finals - Final Round - Women #99,Türkiye,Thailand
0,13853,2022,VNL,Quarter-finals - Final Round - Women #100,Italy,China
0,13854,2022,VNL,Semi-finals - Final Round - Women #101,Serbia,Brazil
0,13855,2022,VNL,Semi-finals - Final Round - Women #102,Türkiye,Italy
0,13856,2022,VNL,3rd Place - Final Round - Women #103,Türkiye,Serbia
0,13857,2022,VNL,Final - Final Round - Women #104,Italy,Brazil
0,16024,2023,VNL,Pool 2 - Week 1 - Women #1,Germany,Netherlands
0,16025,2023,VNL,Pool 2 - Week 1 - Women #2,Japan,Dominican Republic
0,16026,2023,VNL,Pool 1 - Week 1 - Women #3,Italy,Thailand
0,16027,2023,VNL,Pool 1 - Week 1 - Women #4,Poland,Canada
0,16028,2023,VNL,Pool 2 - Week 1 - Women #5,Croatia,Bulgaria
0,16029,2023,VNL,Pool 2 - Week 1 - Women #6,China,Brazil
0,16030,2023,VNL,Pool 1 - Week 1 - Women #7,Serbia,USA
0,16031,2023,VNL,Pool 1 - Week 1 - Women #8,Korea,Türkiye
0,16032,2023,VNL,Pool 2 - Week 1 - Women #9,Croatia,Germany
0,16033,2023,VNL,Pool 2 - Week 1 - Women #10,Bulgaria,Dominican Republic
0,16034,2023,VNL,Pool 2 - Week 1 - Women #11,Brazil,Netherlands
0,16035,2023,VNL,Pool 1 - Week 1 - Women #12,Canada,Thailand
0,16036,2023,VNL,Pool 1 - Week 1 - Women #13,Poland,Italy
0,16037,2023,VNL,Pool 1 - Week 1 - Women #14,Türkiye,Serbia
0,16038,2023,VNL,Pool 2 - Week 1 - Women #15,China,Germany
0,16039,2023,VNL,Pool 2 - Week 1 - Women #16,Dominican Republic,Netherlands
0,16040,2023,VNL,Pool 1 - Week 1 - Women #17,Thailand,Poland
0,16041,2023,VNL,Pool 2 - Week 1 - Women #18,Croatia,Japan
0,16042,2023,VNL,Pool 1 - Week 1 - Women #19,Canada,Korea
0,16043,2023,VNL,Pool 1 - Week 1 - Women #20,USA,Italy
0,16044,2023,VNL,Pool 2 - Week 1 - Women #21,Brazil,Dominican Republic
0,16045,2023,VNL,Pool 2 - Week 1 - Women #22,China,Netherlands
0,16046,2023,VNL,Pool 1 - Week 1 - Women #23,Poland,Serbia
0,16047,2023,VNL,Pool 2 - Week 1 - Women #24,Bulgaria,Japan
0,16048,2023,VNL,Pool 1 - Week 1 - Women #25,USA,Korea
0,16049,2023,VNL,Pool 1 - Week 1 - Women #26,Türkiye,Italy
0,16050,2023,VNL,Pool 2 - Week 1 - Women #27,Croatia,Brazil
0,16051,2023,VNL,Pool 2 - Week 1 - Women #28,Germany,Bulgaria
0,16052,2023,VNL,Pool 1 - Week 1 - Women #29,Thailand,Korea
0,16053,2023,VNL,Pool 2 - Week 1 - Women #30,Japan,China
0,16054,2023,VNL,Pool 1 - Week 1 - Women #31,Canada,Serbia
0,16055,2023,VNL,Pool 1 - Week 1 - Women #32,USA,Türkiye
0,16056,2023,VNL,Pool 3 - Week 2 - Women #33,Dominican Republic,Poland
0,16057,2023,VNL,Pool 3 - Week 2 - Women #34,China,Canada
0,16058,2023,VNL,Pool 4 - Week 2 - Women #35,Croatia,USA
0,16059,2023,VNL,Pool 4 - Week 2 - Women #36,Japan,Serbia
0,16060,2023,VNL,Pool 3 - Week 2 - Women #37,Italy,Bulgaria
0,16061,2023,VNL,Pool 3 - Week 2 - Women #38,Netherlands,Türkiye
0,16062,2023,VNL,Pool 4 - Week 2 - Women #39,Germany,Thailand
0,16063,2023,VNL,Pool 4 - Week 2 - Women #40,Brazil,Korea
0,16064,2023,VNL,Pool 3 - Week 2 - Women #41,Bulgaria,Canada
0,16065,2023,VNL,Pool 3 - Week 2 - Women #42,Poland,Türkiye
0,16066,2023,VNL,Pool 3 - Week 2 - Women #43,Dominican Republic,Italy
0,16067,2023,VNL,Pool 4 - Week 2 - Women #44,Thailand,USA
0,16068,2023,VNL,Pool 4 - Week 2 - Women #45,Japan,Korea
0,16069,2023,VNL,Pool 4 - Week 2 - Women #46,Brazil,Serbia
0,16070,2023,VNL,Pool 3 - Week 2 - Women #47,Türkiye,Canada
0,16071,2023,VNL,Pool 3 - Week 2 - Women #48,Poland,Netherlands
0,16072,2023,VNL,Pool 3 - Week 2 - Women #49,Bulgaria,China
0,16073,2023,VNL,Pool 4 - Week 2 - Women #50,Japan,Germany
0,16074,2023,VNL,Pool 4 - Week 2 - Women #51,Korea,Croatia
0,16075,2023,VNL,Pool 4 - Week 2 - Women #52,Serbia,Thailand
0,16076,2023,VNL,Pool 3 - Week 2 - Women #53,Dominican Republic,Canada
0,16077,2023,VNL,Pool 3 - Week 2 - Women #54,Netherlands,Italy
0,16078,2023,VNL,Pool 3 - Week 2 - Women #55,Poland,China
0,16079,2023,VNL,Pool 4 - Week 2 - Women #56,Brazil,Germany
0,16080,2023,VNL,Pool 4 - Week 2 - Women #57,Japan,USA
0,16081,2023,VNL,Pool 4 - Week 2 - Women #58,Serbia,Croatia
0,16082,2023,VNL,Pool 3 - Week 2 - Women #59,Bulgaria,Netherlands
0,16083,2023,VNL,Pool 3 - Week 2 - Women #60,Dominican Republic,Türkiye
0,16084,2023,VNL,Pool 3 - Week 2 - Women #61,Italy,China
0,16085,2023,VNL,Pool 4 - Week 2 - Women #62,Brazil,USA
0,16086,2023,VNL,Pool 4 - Week 2 - Women #63,Thailand,Croatia
0,16087,2023,VNL,Pool 4 - Week 2 - Women #64,Germany,Korea
0,16088,2023,VNL,Pool 5 - Week 3 - Women #65,Germany,Dominican Republic
0,16089,2023,VNL,Pool 6 - Week 3 - Women #66,Croatia,Canada
0,16090,2023,VNL,Pool 5 - Week 3 - Women #67,Bulgaria,Korea
0,16091,2023,VNL,Pool 6 - Week 3 - Women #68,Thailand,Netherlands
0,16092,2023,VNL,Pool 5 - Week 3 - Women #69,USA,Poland
0,16093,2023,VNL,Pool 6 - Week 3 - Women #70,Japan,Türkiye
0,16094,2023,VNL,Pool 5 - Week 3 - Women #71,China,Serbia
0,16095,2023,VNL,Pool 6 - Week 3 - Women #72,Brazil,Italy
0,16096,2023,VNL,Pool 5 - Week 3 - Women #73,Poland,Germany
0,16097,2023,VNL,Pool 6 - Week 3 - Women #74,Croatia,Netherlands
0,16098,2023,VNL,Pool 5 - Week 3 - Women #75,USA,Bulgaria
0,16099,2023,VNL,Pool 6 - Week 3 - Women #76,Brazil,Canada
0,16100,2023,VNL,Pool 5 - Week 3 - Women #77,Dominican Republic,Korea
0,16101,2023,VNL,Pool 6 - Week 3 - Women #78,Thailand,Türkiye
0,16102,2023,VNL,Pool 5 - Week 3 - Women #79,Bulgaria,Poland
0,16103,2023,VNL,Pool 6 - Week 3 - Women #80,Canada,Italy
0,16104,2023,VNL,Pool 5 - Week 3 - Women #81,Germany,Serbia
0,16105,2023,VNL,Pool 6 - Week 3 - Women #82,Netherlands,Japan
0,16106,2023,VNL,Pool 5 - Week 3 - Women #83,China,Dominican Republic
0,16107,2023,VNL,Pool 6 - Week 3 - Women #84,Brazil,Türkiye
0,16108,2023,VNL,Pool 5 - Week 3 - Women #85,Serbia,Dominican Republic
0,16109,2023,VNL,Pool 5 - Week 3 - Women #86,Korea,China
0,16110,2023,VNL,Pool 6 - Week 3 - Women #87,Italy,Croatia
0,16111,2023,VNL,Pool 5 - Week 3 - Women #88,Germany,USA
0,16112,2023,VNL,Pool 6 - Week 3 - Women #89,Netherlands,Canada
0,16113,2023,VNL,Pool 6 - Week 3 - Women #90,Thailand,Japan
0,16114,2023,VNL,Pool 5 - Week 3 - Women #91,Serbia,Bulgaria
0,16115,2023,VNL,Pool 5 - Week 3 - Women #92,Poland,Korea
0,16116,2023,VNL,Pool 6 - Week 3 - Women #93,Croatia,Türkiye
0,16117,2023,VNL,Pool 5 - Week 3 - Women #94,China,USA
0,16118,2023,VNL,Pool 6 - Week 3 - Women #95,Italy,Japan
0,16119,2023,VNL,Pool 6 - Week 3 - Women #96,Thailand,Brazil
0,16120,2023,VNL,Quarter-finals - Final Round - Women #97,Poland,Germany
0,16121,2023,VNL,Quarter-finals - Final Round - Women #98,USA,Japan
0,16122,2023,VNL,Quarter-finals - Final Round - Women #99,Brazil,China
0,16123,2023,VNL,Quarter-finals - Final Round - Women #100,Türkiye,Italy
0,16124,2023,VNL,Semi-finals - Final Round - Women #101,Poland,China
0,16125,2023,VNL,Semi-finals - Final Round - Women #102,USA,Türkiye
0,16126,2023,VNL,3rd Place - Final Round - Women #103,Poland,USA
0,16127,2023,VNL,Final - Final Round - Women #104,China,Türkiye
0,18957,2024,VNL,Pool 1 - Week 1 - Women #1,Bulgaria,Netherlands
0,18958,2024,VNL,Pool 1 - Week 1 - Women #2,Italy,Poland
0,18959,2024,VNL,Pool 2 - Week 1 - Women #3,China,Korea
0,18960,2024,VNL,Pool 2 - Week 1 - Women #4,Brazil,Canada
0,18961,2024,VNL,Pool 1 - Week 1 - Women #5,France,Germany
0,18962,2024,VNL,Pool 1 - Week 1 - Women #6,Japan,Türkiye
0,18963,2024,VNL,Pool 2 - Week 1 - Women #7,USA,Thailand
0,18964,2024,VNL,Pool 2 - Week 1 - Women #8,Serbia,Dominican Republic
0,18965,2024,VNL,Pool 1 - Week 1 - Women #9,Germany,Italy
0,18966,2024,VNL,Pool 1 - Week 1 - Women #10,Bulgaria,Japan
0,18967,2024,VNL,Pool 1 - Week 1 - Women #11,Netherlands,Türkiye
0,18968,2024,VNL,Pool 2 - Week 1 - Women #12,Brazil,Korea
0,18969,2024,VNL,Pool 2 - Week 1 - Women #13,China,USA
0,18970,2024,VNL,Pool 2 - Week 1 - Women #14,Dominican Republic,Canada
