,game_id,team,set_nr,action,player_nr,player_name,position,digs,errors,total,efficiency
207,11831,Serbia,3,dig,26,Savic ,O,0,0,1,0.00
208,11831,Serbia,3,dig,28,Delic ,MB,0,0,0,
209,11831,Serbia,3,dig,32,Gocanin ,L,0,0,0,
211,11831,Serbia,4,dig,31,Djurdjevic ,L,7,0,7,100.00
212,11831,Serbia,4,dig,22,Lozo ,O,5,0,6,83.33
213,11831,Serbia,4,dig,2,Dangubić (C),OH,3,1,5,40.00
214,11831,Serbia,4,dig,21,Kocic ,MB,2,1,3,33.33
215,11831,Serbia,4,dig,3,Caric ,O,1,0,1,100.00
216,11831,Serbia,4,dig,7,Jaksic ,S,1,1,3,0.00
217,11831,Serbia,4,dig,24,Medic ,MB,1,0,1,100.00
218,11831,Serbia,4,dig,6,Uzelac ,OH,0,0,0,
219,11831,Serbia,4,dig,23,Djordjevic ,S,0,0,0,
220,11831,Serbia,4,dig,25,Markovic ,MB,0,0,0,
221,11831,Serbia,4,dig,26,Savic ,O,0,0,0,
222,11831,Serbia,4,dig,28,Delic ,MB,0,0,0,
223,11831,Serbia,4,dig,32,Gocanin ,L,0,0,0,
224,11831,Serbia,4,dig,34,Mirosavljevic ,OH,0,0,0,
226,11831,Serbia,5,dig,3,Caric ,O,6,0,6,100.00
227,11831,Serbia,5,dig,31,Djurdjevic ,L,5,1,6,66.67
228,11831,Serbia,5,dig,2,Dangubić (C),OH,3,0,3,100.00
229,11831,Serbia,5,dig,21,Kocic ,MB,2,0,2,100.00
230,11831,Serbia,5,dig,22,Lozo ,O,2,0,2,100.00
231,11831,Serbia,5,dig,24,Medic ,MB,1,0,1,100.00
232,11831,Serbia,5,dig,34,Mirosavljevic ,OH,1,0,1,100.00
233,11831,Serbia,5,dig,6,Uzelac ,OH,0,0,0,
234,11831,Serbia,5,dig,7,Jaksic ,S,0,0,1,0.00
235,11831,Serbia,5,dig,23,Djordjevic ,S,0,0,0,
236,11831,Serbia,5,dig,25,Markovic ,MB,0,0,0,
237,11831,Serbia,5,dig,26,Savic ,O,0,0,0,
238,11831,Serbia,5,dig,28,Delic ,MB,0,0,0,
239,11831,Serbia,5,dig,32,Gocanin ,L,0,0,0,
241,11832,Germany,1,dig,17,Pogany ,L,7,2,9,55.56
242,11832,Germany,1,dig,4,Imoudu ,S,5,0,5,100.00
243,11832,Germany,1,dig,6,Janiska (C),OH,3,0,3,100.00
244,11832,Germany,1,dig,5,Poll ,OH,1,0,1,100.00
245,11832,Germany,1,dig,8,Drewniok ,O,1,0,1,100.00
246,11832,Germany,1,dig,1,Bock ,L,0,0,0,
247,11832,Germany,1,dig,2,Kästner ,S,0,0,0,
248,11832,Germany,1,dig,7,Vanjak ,OH,0,0,0,
249,11832,Germany,1,dig,9,Alsmeier ,OH,0,0,0,
250,11832,Germany,1,dig,12,Orthmann ,OH,0,1,1,-100.00
251,11832,Germany,1,dig,14,Schölzel ,MB,0,1,1,-100.00
252,11832,Germany,1,dig,16,Ambrosius ,MB,0,0,0,
253,11832,Germany,1,dig,20,"Bock, J. ",MB,0,0,0,
254,11832,Germany,1,dig,21,Weitzel ,MB,0,0,0,
256,11832,Germany,2,dig,4,Imoudu ,S,5,0,5,100.00
257,11832,Germany,2,dig,6,Janiska (C),OH,3,0,3,100.00
258,11832,Germany,2,dig,17,Pogany ,L,3,0,3,100.00
259,11832,Germany,2,dig,8,Drewniok ,O,2,1,3,33.33
260,11832,Germany,2,dig,21,Weitzel ,MB,1,0,1,100.00
261,11832,Germany,2,dig,1,Bock ,L,0,0,0,
262,11832,Germany,2,dig,2,Kästner ,S,0,0,0,
263,11832,Germany,2,dig,5,Poll ,OH,0,0,0,
264,11832,Germany,2,dig,7,Vanjak ,OH,0,0,0,
265,11832,Germany,2,dig,9,Alsmeier ,OH,0,0,0,
266,11832,Germany,2,dig,12,Orthmann ,OH,0,1,1,-100.00
267,11832,Germany,2,dig,14,Schölzel ,MB,0,0,0,
268,11832,Germany,2,dig,16,Ambrosius ,MB,0,0,0,
269,11832,Germany,2,dig,20,"Bock, J. ",MB,0,0,0,
271,11832,Germany,3,dig,6,Janiska (C),OH,2,0,2,100.00
272,11832,Germany,3,dig,12,Orthmann ,OH,2,0,2,100.00
273,11832,Germany,3,dig,17,Pogany ,L,2,2,4,0.00
274,11832,Germany,3,dig,2,Kästner ,S,1,0,1,100.00
275,11832,Germany,3,dig,4,Imoudu ,S,1,0,1,100.00
276,11832,Germany,3,dig,8,Drewniok ,O,1,0,1,100.00
277,11832,Germany,3,dig,1,Bock ,L,0,0,0,
278,11832,Germany,3,dig,5,Poll ,OH,0,0,0,
279,11832,Germany,3,dig,7,Vanjak ,OH,0,2,2,-100.00
280,11832,Germany,3,dig,9,Alsmeier ,OH,0,0,0,
281,11832,Germany,3,dig,14,Schölzel ,MB,0,0,1,0.00
282,11832,Germany,3,dig,16,Ambrosius ,MB,0,0,0,
283,11832,Germany,3,dig,20,"Bock, J. ",MB,0,0,0,
284,11832,Germany,3,dig,21,Weitzel ,MB,0,0,0,
286,11832,Russia,1,dig,22,Zaytseva ,L,6,0,6,100.00
287,11832,Russia,1,dig,4,Pilipenko ,L,4,0,4,100.00
288,11832,Russia,1,dig,16,Voronkova ,OH,2,0,2,100.00
289,11832,Russia,1,dig,5,Fedorovtseva ,OH,1,0,1,100.00
290,11832,Russia,1,dig,25,Smirnova ,OH,1,0,1,100.00
291,11832,Russia,1,dig,2,Malygina ,O,0,0,0,
292,11832,Russia,1,dig,6,Koroleva ,MB,0,0,0,
293,11832,Russia,1,dig,8,Goncharova ,O,0,0,0,
294,11832,Russia,1,dig,11,Brovkina ,MB,0,0,0,
295,11832,Russia,1,dig,13,Startseva (C),S,0,0,1,0.00
296,11832,Russia,1,dig,14,Fetisova ,MB,0,0,0,
297,11832,Russia,1,dig,15,Kosheleva ,OH,0,1,1,-100.00
298,11832,Russia,1,dig,20,Lazareva E. ,S,0,0,0,
299,11832,Russia,1,dig,23,Kapustina ,OH,0,0,0,
301,11832,Russia,2,dig,22,Zaytseva ,L,4,2,6,33.33
302,11832,Russia,2,dig,13,Startseva (C),S,2,2,4,0.00
303,11832,Russia,2,dig,16,Voronkova ,OH,2,0,2,100.00
304,11832,Russia,2,dig,2,Malygina ,O,0,0,0,
305,11832,Russia,2,dig,4,Pilipenko ,L,0,0,0,
306,11832,Russia,2,dig,5,Fedorovtseva ,OH,0,0,0,
307,11832,Russia,2,dig,6,Koroleva ,MB,0,0,0,
308,11832,Russia,2,dig,8,Goncharova ,O,0,0,0,
309,11832,Russia,2,dig,11,Brovkina ,MB,0,0,0,
310,11832,Russia,2,dig,14,Fetisova ,MB,0,0,0,
311,11832,Russia,2,dig,15,Kosheleva ,OH,0,0,0,
312,11832,Russia,2,dig,20,Lazareva E. ,S,0,0,0,
313,11832,Russia,2,dig,23,Kapustina ,OH,0,0,0,
314,11832,Russia,2,dig,25,Smirnova ,OH,0,0,0,
316,11832,Russia,3,dig,8,Goncharova ,O,5,0,5,100.00
317,11832,Russia,3,dig,6,Koroleva ,MB,1,0,1,100.00
318,11832,Russia,3,dig,13,Startseva (C),S,1,0,1,100.00
319,11832,Russia,3,dig,15,Kosheleva ,OH,1,0,2,50.00
320,11832,Russia,3,dig,16,Voronkova ,OH,1,0,1,100.00
321,11832,Russia,3,dig,22,Zaytseva ,L,1,0,1,100.00
322,11832,Russia,3,dig,2,Malygina ,O,0,0,0,
323,11832,Russia,3,dig,4,Pilipenko ,L,0,0,0,
324,11832,Russia,3,dig,5,Fedorovtseva ,OH,0,0,0,
325,11832,Russia,3,dig,11,Brovkina ,MB,0,0,0,
326,11832,Russia,3,dig,14,Fetisova ,MB,0,0,0,
327,11832,Russia,3,dig,20,Lazareva E. ,S,0,0,0,
328,11832,Russia,3,dig,23,Kapustina ,OH,0,0,0,
329,11832,Russia,3,dig,25,Smirnova ,OH,0,0,0,
331,11833,Japan,1,dig,14,Kobata ,L,5,0,5,100.00
332,11833,Japan,1,dig,1,Kurogo ,OH,3,0,3,100.00
333,11833,Japan,1,dig,2,Koga ,OH,1,0,1,100.00
334,11833,Japan,1,dig,5,Araki (C),MB,1,0,1,100.00
335,11833,Japan,1,dig,8,Ishikawa ,OH,1,0,1,100.00
336,11833,Japan,1,dig,3,Shimamura ,MB,0,0,0,
337,11833,Japan,1,dig,7,Ishii ,OH,0,0,0,
338,11833,Japan,1,dig,9,Tashiro ,S,0,0,0,
339,11833,Japan,1,dig,13,Okumura ,MB,0,0,0,
340,11833,Japan,1,dig,15,Inoue ,L,0,0,0,
341,11833,Japan,1,dig,19,Yamada ,MB,0,0,0,
342,11833,Japan,1,dig,20,Seki ,S,0,0,0,
343,11833,Japan,1,dig,21,Hayashi ,OH,0,0,1,0.00
344,11833,Japan,1,dig,24,Momii ,S,0,0,1,0.00
346,11833,Japan,2,dig,14,Kobata ,L,7,0,8,87.50
347,11833,Japan,2,dig,1,Kurogo ,OH,2,1,4,25.00
348,11833,Japan,2,dig,2,Koga ,OH,2,0,2,100.00
349,11833,Japan,2,dig,8,Ishikawa ,OH,1,0,1,100.00
350,11833,Japan,2,dig,3,Shimamura ,MB,0,0,0,
351,11833,Japan,2,dig,5,Araki (C),MB,0,0,0,
352,11833,Japan,2,dig,7,Ishii ,OH,0,0,0,
353,11833,Japan,2,dig,9,Tashiro ,S,0,0,0,
354,11833,Japan,2,dig,13,Okumura ,MB,0,0,0,
355,11833,Japan,2,dig,15,Inoue ,L,0,0,0,
356,11833,Japan,2,dig,19,Yamada ,MB,0,0,0,
357,11833,Japan,2,dig,20,Seki ,S,0,0,0,
358,11833,Japan,2,dig,21,Hayashi ,OH,0,0,0,
359,11833,Japan,2,dig,24,Momii ,S,0,2,4,-50.00
361,11833,Japan,3,dig,1,Kurogo ,OH,4,0,4,100.00
362,11833,Japan,3,dig,14,Kobata ,L,4,0,4,100.00
363,11833,Japan,3,dig,2,Koga ,OH,2,0,2,100.00
364,11833,Japan,3,dig,9,Tashiro ,S,2,0,3,66.67
365,11833,Japan,3,dig,3,Shimamura ,MB,1,0,1,100.00
366,11833,Japan,3,dig,8,Ishikawa ,OH,1,1,2,0.00
367,11833,Japan,3,dig,24,Momii ,S,1,0,1,100.00
368,11833,Japan,3,dig,5,Araki (C),MB,0,0,0,
369,11833,Japan,3,dig,7,Ishii ,OH,0,0,0,
370,11833,Japan,3,dig,13,Okumura ,MB,0,0,0,
371,11833,Japan,3,dig,15,Inoue ,L,0,0,0,
372,11833,Japan,3,dig,19,Yamada ,MB,0,0,0,
373,11833,Japan,3,dig,20,Seki ,S,0,0,0,
374,11833,Japan,3,dig,21,Hayashi ,OH,0,0,0,
376,11833,Thailand,1,dig,2,P. Piyanut ,L,3,0,4,75.00
